site_id,region,site_size,num_doctors,num_nurses,avg_patient_age,avg_patient_income,trial_success_rate,patient_enrollment_rate,previous_experience,site_rating,accessibility_score,site_type,bed_count,years_operational,training_quality,site_location,site_capacity
86,North,Medium,38,23.0,59,54536.0,0.5248147054515127,0.9383471490064612,High,Excellent,4,Community,174,27,Poor,Urban,High
87,North,Large,41,35.0,59,40446.0,0.635722106923827,0.8440081890016227,Medium,Good,3,Teaching,74,12,Average,Suburban,Low
88,North,Large,19,47.0,63,76683.0,0.7023726617278234,0.6291280731728253,Low,Poor,10,Teaching,243,22,Excellent,Suburban,High
89,West,Large,48,32.0,51,88555.0,0.5647692026528854,0.9020358681595564,Medium,Excellent,8,Research,177,8,Poor,Rural,Medium
90,East,Large,40,31.0,50,57618.0,0.7632408872225969,0.7681959792926938,Medium,Average,7,Research,149,26,Poor,Rural,Low
91,East,Medium,19,57.0,38,46587.0,0.8990997556040803,0.6240638672478706,Medium,Average,9,Teaching,195,17,Poor,Rural,Low
92,North,Medium,47,28.0,41,71480.0,0.6806957903925775,0.7924010393071588,Medium,Excellent,1,Teaching,54,10,Excellent,Suburban,High
93,East,Small,27,55.0,42,72994.0,0.6418914226920851,0.7460074976414957,Low,Average,7,Research,68,27,Poor,Rural,Medium
94,East,Small,10,,69,,0.6602816667337866,0.9072122917019186,High,Excellent,10,Research,219,7,Good,Rural,Low
95,North,Small,48,51.0,53,63569.0,0.5460584713580805,0.6713981112632855,Medium,Average,4,Teaching,67,19,Average,Suburban,High
96,East,Small,47,28.0,44,51151.0,0.8533094405704895,0.889262613322264,Low,Excellent,7,Research,170,25,Good,Rural,Medium
97,Central,Medium,49,18.0,51,45558.0,0.6659302622085408,0.7951910419149084,High,Poor,1,Research,81,6,Excellent,Suburban,High
98,South,Large,25,37.0,42,84739.0,0.6549097645699365,0.6191136061247141,High,Poor,5,Teaching,198,21,Poor,Suburban,High
99,South,Medium,27,29.0,28,72954.0,0.7638761091721897,0.9401458554639196,High,Poor,3,Teaching,59,24,Average,Urban,Low
100,North,Small,47,54.0,25,87448.0,0.6768133683724494,0.77941533543612,Medium,Poor,5,Community,86,24,Poor,Urban,Low
101,West,Medium,20,,25,,0.7592933875231385,0.7018068989810539,Medium,Average,4,Teaching,226,28,Excellent,Suburban,High
102,North,Large,19,,50,,0.524578516052315,0.7642923946962403,High,Good,2,Research,135,28,Average,Suburban,Low
103,West,Large,29,18.0,69,75303.0,0.825489337488891,0.9002502242311211,High,Excellent,4,Teaching,62,19,Good,Urban,Low
104,South,Medium,40,28.0,44,74700.0,0.876201581151761,0.7067160935347722,High,Good,3,Teaching,232,18,Average,Rural,Medium
105,North,Medium,15,56.0,47,67500.0,0.7595061544637545,0.667436738770345,High,Average,1,Teaching,194,15,Poor,Rural,Medium
106,Central,Medium,19,23.0,34,42032.0,0.8818263715435244,0.6451749364258085,High,Average,10,Community,58,2,Average,Rural,High
107,East,Small,8,47.0,35,41252.0,0.5605729257479853,0.7042507894365739,High,Good,8,Community,137,14,Excellent,Suburban,High
108,West,Medium,25,45.0,65,45509.0,0.6909664757921414,0.8730168304640151,Low,Good,5,Research,221,21,Excellent,Urban,High
109,East,Medium,17,,65,,0.7407226935781789,0.7650692278183415,High,Average,4,Community,255,10,Average,Rural,High
110,East,Medium,26,26.0,29,53900.0,0.7326946589684746,0.679618561292739,Medium,Average,10,Teaching,95,28,Excellent,Urban,Medium
111,North,Large,23,39.0,25,54523.0,0.6605847116356173,0.6581647498634122,Medium,Excellent,5,Community,185,16,Excellent,Urban,Low
112,East,Large,38,18.0,41,41881.0,0.6352337637465045,0.7164553167786326,Medium,Poor,4,Teaching,168,7,Excellent,Suburban,Medium
113,Central,Small,18,42.0,46,73037.0,0.5507296090201675,0.928973530509998,High,Poor,3,Community,214,8,Good,Rural,High
114,East,Small,8,34.0,58,41630.0,0.6566969802249113,0.7200593494065085,Medium,Excellent,5,Community,68,10,Poor,Urban,High
115,North,Large,31,23.0,69,60789.0,0.565064326042194,0.9458434265841223,Low,Good,4,Community,240,15,Excellent,Suburban,Medium
116,Central,Large,33,20.0,65,62523.0,0.7937462705968874,0.7698306595178747,High,Average,1,Teaching,269,8,Average,Suburban,Medium
117,South,Large,32,44.0,53,57958.0,0.583532374197836,0.6627073714015528,Medium,Good,3,Community,223,13,Excellent,Suburban,High
118,East,Medium,39,50.0,28,86151.0,0.5234261221138136,0.9118990321277283,Low,Poor,10,Teaching,282,12,Good,Rural,Low
119,North,Medium,12,23.0,29,88920.0,0.7209464551268937,0.7611243805971893,Low,Poor,10,Teaching,143,8,Average,Rural,High
120,South,Large,20,39.0,35,83852.0,0.7380918930877607,0.8483849702265835,Medium,Good,8,Research,248,15,Poor,Suburban,Medium
121,South,Medium,46,50.0,45,41695.0,0.8487652245122022,0.944299054123203,Low,Poor,7,Community,299,26,Average,Rural,High
122,West,Medium,40,13.0,59,54821.0,0.7307926449670727,0.6175613726119908,Medium,Average,2,Research,75,12,Average,Rural,High
123,Central,Small,34,13.0,36,43262.0,0.6381923414893783,0.6338430959256485,Low,Excellent,1,Research,281,11,Average,Urban,Low
124,East,Large,22,,50,,0.8212047526105282,0.8521598595119646,High,Good,3,Teaching,95,19,Average,Suburban,High
125,North,Large,6,17.0,43,56436.0,0.7161115572749684,0.6986387511534151,High,Average,5,Community,167,14,Excellent,Suburban,High
126,West,Medium,17,11.0,69,49949.0,0.5317121138524767,0.6645054889325347,High,Average,10,Teaching,95,27,Poor,Rural,High
127,Central,Large,8,50.0,31,63963.0,0.7263402241252986,0.6137766579369053,High,Poor,1,Teaching,252,18,Excellent,Suburban,Medium
128,West,Small,30,55.0,31,69932.0,0.863207418168665,0.6076463491951706,High,Average,3,Community,63,13,Good,Suburban,Medium
129,Central,Small,29,31.0,50,46901.0,0.6585250501992882,0.8710699610919268,Medium,Good,3,Teaching,134,4,Good,Suburban,Low
130,Central,Small,34,50.0,64,73487.0,0.61853032075992,0.6470516995793425,High,Average,5,Community,112,17,Average,Rural,High
131,East,Large,15,25.0,29,48597.0,0.557387782807208,0.7637022155899028,High,Excellent,3,Community,121,19,Excellent,Rural,Medium
132,Central,Large,11,,45,,0.5605782087741429,0.812063885312819,High,Average,9,Teaching,52,27,Excellent,Rural,Low
133,West,Large,35,58.0,38,58678.0,0.6731085937367276,0.7499231301990962,High,Average,1,Teaching,77,9,Poor,Urban,High
134,Central,Large,48,57.0,28,48263.0,0.7382719296646119,0.6094873283176816,Low,Excellent,4,Research,174,23,Poor,Suburban,Low
135,East,Large,14,39.0,47,87288.0,0.5322461620678407,0.8742255259057681,High,Average,10,Teaching,206,7,Poor,Urban,Low
136,East,Small,43,21.0,66,65805.0,0.8758274356100664,0.6036796285895787,High,Average,10,Community,136,1,Excellent,Rural,Low
137,West,Medium,17,44.0,44,66143.0,0.8020534469780785,0.8666614630321194,Medium,Poor,4,Research,195,7,Poor,Urban,Low
138,South,Small,35,20.0,39,51874.0,0.7346495673134651,0.9126565728258429,Low,Good,1,Community,212,26,Poor,Suburban,Low
139,South,Large,11,55.0,69,67529.0,0.8313754683755963,0.7514939723700103,Medium,Poor,2,Research,126,7,Poor,Suburban,Low
140,Central,Small,46,59.0,53,60866.0,0.5320747027248454,0.7874398655842294,High,Good,1,Teaching,125,20,Average,Rural,Low
141,North,Large,46,30.0,32,54079.0,0.6907355510932498,0.7669441874161788,Medium,Excellent,6,Teaching,224,7,Good,Rural,High
142,Central,Large,40,30.0,65,89850.0,0.7520372507446653,0.7362230165182035,Medium,Excellent,3,Teaching,163,8,Good,Urban,High
143,West,Small,24,,43,,0.8314611624473157,0.9105985873796261,High,Excellent,7,Community,182,16,Excellent,Rural,Low
144,West,Large,8,,63,,0.8133878240197071,0.9128767287344967,Low,Good,5,Research,280,3,Excellent,Urban,High
145,West,Medium,11,29.0,52,49018.0,0.6108276998853599,0.7175357276245371,Low,Good,9,Community,124,13,Average,Suburban,Low
146,West,Large,5,46.0,51,89500.0,0.8763520678236818,0.8152744139051442,Medium,Good,7,Research,299,10,Good,Suburban,High
147,West,Medium,48,,28,,0.5497383365723482,0.9244176467510524,High,Excellent,4,Teaching,108,18,Poor,Suburban,Medium
148,East,Medium,49,53.0,39,89459.0,0.8500534474484609,0.936720474629473,Medium,Good,5,Community,252,7,Poor,Suburban,Low
149,South,Large,46,42.0,59,59800.0,0.8883760998418475,0.7781356641477166,Medium,Average,5,Teaching,108,21,Excellent,Suburban,Medium
150,West,Small,17,18.0,61,66910.0,0.5708614092890503,0.7584886818495143,Medium,Poor,5,Community,288,21,Good,Urban,Low
151,North,Medium,26,18.0,25,69437.0,0.7888264256815141,0.697543010574984,High,Excellent,10,Teaching,283,5,Excellent,Suburban,Low
152,North,Small,25,13.0,27,77588.0,0.5161142075111994,0.9356051556166435,High,Poor,9,Community,96,23,Excellent,Urban,Medium
153,North,Medium,26,44.0,48,51001.0,0.662169130055662,0.6499850065655035,Low,Average,10,Community,144,25,Poor,Suburban,Medium
154,North,Large,32,26.0,51,86675.0,0.7065133196790696,0.8029403516167037,High,Good,3,Research,272,27,Poor,Urban,Medium
155,East,Large,13,43.0,64,59942.0,0.7322580903638536,0.6988925936315236,Medium,Poor,6,Teaching,190,24,Good,Urban,Low
156,North,Medium,30,33.0,60,60862.0,0.8743748992994238,0.6976529016217288,Medium,Average,8,Research,127,22,Excellent,Urban,Medium
157,West,Large,13,41.0,58,51669.0,0.7689002749176779,0.7417390055816659,Low,Average,9,Research,162,7,Average,Rural,Medium
158,Central,Medium,19,10.0,53,55916.0,0.6925111804876948,0.949577527535479,High,Poor,7,Teaching,158,25,Good,Urban,High
159,North,Large,14,17.0,48,50878.0,0.8238700145063558,0.6192382073939378,Medium,Excellent,3,Community,155,27,Excellent,Urban,High
160,East,Small,28,54.0,48,42985.0,0.8802131283817636,0.8024896363712359,Low,Poor,1,Research,138,22,Good,Suburban,Medium
161,East,Large,46,32.0,66,72369.0,0.5088264594729164,0.628900255312347,Low,Excellent,4,Teaching,82,17,Good,Urban,Medium
162,North,Small,12,56.0,28,48112.0,0.8930085089024156,0.6540822904966817,Medium,Good,6,Community,146,4,Good,Urban,Medium
163,Central,Large,28,,27,,0.5344528556254722,0.7538470296205145,Medium,Excellent,3,Research,239,24,Average,Rural,Medium
164,North,Small,20,21.0,58,58931.0,0.8257547117075046,0.7786610459712544,High,Good,1,Research,128,23,Average,Suburban,High
165,East,Large,30,21.0,47,67340.0,0.612133901020565,0.6905773429275833,Low,Poor,6,Research,65,16,Poor,Rural,Low
166,South,Small,31,55.0,47,40336.0,0.5528718631015487,0.7107599958060457,Medium,Good,1,Community,93,19,Poor,Rural,Medium
167,West,Medium,41,56.0,69,82933.0,0.6759422558855339,0.6304384570895766,Low,Average,9,Research,235,10,Excellent,Rural,Medium
168,East,Medium,8,24.0,29,59363.0,0.7575826317790455,0.7061269243454876,High,Good,1,Community,169,3,Good,Urban,High
169,North,Small,28,50.0,55,85536.0,0.65238073800939,0.9382954537831905,Medium,Excellent,6,Research,279,27,Excellent,Rural,Medium
170,West,Large,23,28.0,65,43968.0,0.5218261633130796,0.9306475835853685,High,Excellent,1,Teaching,183,3,Poor,Rural,Medium
171,North,Small,40,35.0,30,73678.0,0.7397844558634866,0.7172074015479447,Low,Excellent,7,Research,157,28,Average,Suburban,High
172,North,Large,43,38.0,61,88400.0,0.8609613104442699,0.7997988776975665,High,Good,3,Teaching,266,17,Poor,Suburban,Medium
173,South,Medium,14,31.0,34,56279.0,0.6532861463789007,0.9183583868888305,High,Excellent,6,Teaching,192,10,Excellent,Suburban,Medium
174,West,Large,29,49.0,64,43129.0,0.5865331110523309,0.6021643379243138,Low,Excellent,7,Teaching,53,17,Poor,Suburban,High
175,West,Medium,22,30.0,31,78215.0,0.6770309383731261,0.8837392496181571,High,Average,1,Community,105,22,Excellent,Rural,Low
176,South,Large,23,47.0,63,78897.0,0.5193450844195123,0.9319293434761216,Low,Good,1,Teaching,113,17,Excellent,Suburban,Medium
177,East,Large,40,29.0,62,45850.0,0.82819503379211,0.6319640070167449,Medium,Average,5,Research,245,21,Excellent,Urban,Medium
178,North,Large,14,38.0,45,60588.0,0.8305363243800747,0.6565066901115223,Low,Excellent,6,Community,271,4,Excellent,Rural,Low
179,Central,Small,37,13.0,44,80214.0,0.7352001853718514,0.9362612059699744,Low,Excellent,9,Teaching,211,21,Poor,Suburban,High
180,North,Small,9,16.0,27,51949.0,0.6412411555753558,0.7881390502741212,Medium,Excellent,1,Community,268,23,Excellent,Rural,Low
181,North,Medium,39,37.0,46,48519.0,0.8199133457783134,0.6049688220651033,Low,Good,4,Community,144,6,Excellent,Suburban,Medium
182,East,Medium,48,37.0,28,66375.0,0.7218748099153469,0.6901711995672352,Medium,Poor,10,Community,105,12,Good,Rural,Low
183,North,Small,38,13.0,52,73082.0,0.8303729234200066,0.7574802859941008,Medium,Excellent,8,Research,81,25,Excellent,Suburban,High
184,South,Medium,37,31.0,36,51737.0,0.7525835170332082,0.8425181188586687,Low,Excellent,10,Teaching,285,22,Poor,Urban,Medium
185,South,Small,25,21.0,62,41134.0,0.813762189285119,0.8566061323478797,High,Excellent,9,Community,280,25,Excellent,Suburban,High
186,West,Large,21,54.0,60,50938.0,0.739425197287104,0.9483975295239095,High,Excellent,3,Community,165,20,Average,Rural,High
187,Central,Medium,26,12.0,65,64486.0,0.6656564272862665,0.7006289197843156,Medium,Good,2,Community,58,17,Average,Rural,Low
188,North,Medium,41,31.0,29,88356.0,0.883178343970455,0.7883770356539663,High,Poor,4,Teaching,240,17,Excellent,Urban,Low
189,North,Small,19,53.0,37,66096.0,0.7164455299515379,0.7866632417508617,High,Poor,2,Community,154,10,Average,Rural,High
190,East,Medium,39,11.0,47,81115.0,0.7420358074162153,0.7419758408065331,Low,Poor,1,Community,249,7,Average,Urban,High
191,South,Medium,32,,54,,0.5881950557658997,0.6592066628448471,Medium,Excellent,3,Research,127,29,Poor,Rural,Medium
192,Central,Large,11,43.0,61,58108.0,0.7502603157709107,0.9421097971143448,Medium,Excellent,7,Teaching,210,16,Good,Rural,High
193,West,Medium,36,36.0,49,57270.0,0.7286430597931776,0.898661015333305,Low,Poor,1,Research,136,29,Average,Urban,High
194,South,Large,15,50.0,51,67649.0,0.57393535917881,0.774416559902983,High,Poor,2,Teaching,70,13,Average,Rural,Low
195,West,Small,14,10.0,38,50997.0,0.5238348389412575,0.8111358979394104,Medium,Excellent,1,Teaching,104,3,Good,Rural,High
196,East,Medium,13,17.0,60,73489.0,0.7417437278859085,0.6795413687458818,High,Excellent,8,Teaching,125,2,Good,Urban,High
197,East,Large,18,32.0,63,49104.0,0.8054769077401283,0.7903254746371113,Medium,Average,5,Research,234,16,Average,Suburban,Low
198,North,Small,17,47.0,40,40870.0,0.7093605483688032,0.8432395465925164,Medium,Average,8,Research,179,6,Excellent,Urban,Medium
199,Central,Medium,29,15.0,46,68684.0,0.5907090501278582,0.7803084599353061,Medium,Average,3,Research,190,6,Average,Rural,Low
200,West,Small,6,,45,,0.766608790677214,0.9465998097047295,Medium,Poor,7,Research,175,13,Excellent,Suburban,Low
201,South,Medium,39,,45,,0.5320422906438409,0.8139695796867041,High,Good,8,Community,181,7,Excellent,Suburban,High
202,East,Small,11,27.0,32,74524.0,0.6767334819207819,0.7298407994072591,High,Excellent,6,Community,133,5,Excellent,Suburban,High
203,North,Small,25,26.0,40,70957.0,0.5653467033593681,0.8702532096655433,High,Average,7,Community,227,24,Good,Urban,Medium
204,North,Large,22,21.0,55,73885.0,0.5737836204239534,0.6596618790535747,High,Good,2,Teaching,164,7,Average,Suburban,High
205,West,Small,7,15.0,66,84369.0,0.5809175796632815,0.7345805347971932,Low,Excellent,8,Community,97,2,Average,Suburban,Medium
206,East,Medium,46,35.0,34,75596.0,0.6546828228175912,0.721435632632155,Medium,Good,5,Teaching,172,17,Poor,Suburban,Medium
207,Central,Medium,43,36.0,56,69866.0,0.5204600822481591,0.751132483287722,Medium,Poor,7,Research,127,13,Good,Rural,Medium
208,East,Large,45,17.0,58,70676.0,0.6591173763716393,0.8736229390750542,Medium,Poor,1,Teaching,79,25,Poor,Urban,Medium
209,West,Medium,15,28.0,33,87764.0,0.7046829788458804,0.7694605612571925,Low,Poor,5,Teaching,78,21,Poor,Urban,High
210,West,Medium,43,51.0,41,53878.0,0.6933177139865301,0.8779050575930869,High,Average,1,Community,185,28,Excellent,Rural,Low
211,East,Medium,28,10.0,35,79760.0,0.6531136401612162,0.801771116098953,Medium,Excellent,8,Research,189,27,Good,Suburban,Low
